GL No.|GL Name|Sub-ledger No.|Sub-ledger Name (Alias)|Product|Country|Debit / Credit|Currency| CRR Balance as at Dec 31, 2013 | CRR Balance (HKD) as at Dec 31, 2013 |FX Rate to HKD (determined by column I & J)|Column1|Column2|Column3||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR203(F)|YeePay-YeePay-9117(Float)|Hybrid|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR204(A)|Xiao-Baofoo-204(Available)|Voucher|China|Debit|RMB| 64.03 | 80.90 |1.263470248|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR204(F)|Xiao-Baofoo-204(Float)|Voucher|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR205(A)|Xiao-Baofoo-205(Available)|Hybrid|China|Debit|RMB| 11,838.52 | 15,047.06 |1.271025432|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR205(F)|Xiao-Baofoo-205(Float)|Hybrid|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR206(A)|Xiao-UnicomPay-208(Available)|Hybrid|China|Debit|RMB| 2,878,378.66 | 3,621,498.82 |1.258173176|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR206(F)|Xiao-UnicomPay-208(Float)|Hybrid|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR207(A)|YeePay-YeePay-5785(Available)|Hybrid|China|Debit|RMB| 1,583,253.59 | 2,004,240.44 |1.265899823|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR207(F)|YeePay-YeePay-5785(Float)|Hybrid|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR209(A)|HaiPay-FL-174(Available)|Hybrid|China|Debit|RMB| 1,489,112.12 | 1,875,144.61 |1.259236685|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR209(F)|HaiPay-FL-174(Float)|Hybrid|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR210(A)|HaiPay-FL-175(Available)|Hybrid|China|Debit|RMB| 1,214,958.81 | 1,509,060.42 |1.242067145|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR210(F)|HaiPay-FL-175(Float)|Hybrid|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR211(A)|HaiPay-FL-176(Available)|Hybrid|China|Debit|RMB| 1,116,628.71 | 1,395,387.04 |1.249642811|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR211(F)|HaiPay-FL-176(Float)|Hybrid|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR212(A)|HaiPay-FL-177(Available)|Hybrid|China|Debit|RMB| 1,782,305.63 | 2,250,234.72 |1.262541442|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR212(F)|HaiPay-FL-177(Float)|Hybrid|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR213(A)|HaiPay-FL-178(Available)|Hybrid|China|Debit|RMB| 1,844,970.16 | 2,311,754.77 |1.253003881|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR213(F)|HaiPay-FL-178(Float)|Hybrid|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR214(A)|Xiao-Baofoo-212(Available)|Hybrid|China|Debit|RMB| 494,979.65 | 606,982.14 |1.226276959|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR214(F)|Xiao-Baofoo-212(Float)|Hybrid|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR215(A)|Xiao-Baofoo-213(Available)|Hybrid|China|Debit|RMB| 1,362,598.63 | 1,694,453.43 |1.243545526|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR215(F)|Xiao-Baofoo-213(Float)|Hybrid|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR216(A)|Xiao-Baofoo-214(Available)|Hybrid|China|Debit|RMB| 773,739.45 | 948,491.55 |1.225853936|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR216(F)|Xiao-Baofoo-214(Float)|Hybrid|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR217(A)|HaiPay-HaiPay-2236(Available)|Hybrid|China|Debit|RMB| 2,659,364.93 | 3,354,948.00 |1.261559842|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR217(F)|HaiPay-HaiPay-2236(Float)|Hybrid|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR218(A)|LinkinPay-ECPSS-055(Available)|Hybrid|China|Debit|RMB| 496,372.30 | 624,398.00 |1.257922733|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR218(F)|LinkinPay-ECPSS-055(Float)|Hybrid|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR220(A)|eSkyPay-HNAPay-1801(Available)|Hybrid|China|Debit|RMB| 297,957.23 | 379,690.46 |1.274311954|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR220(F)|eSkyPay-HNAPay-1801(Float)|Hybrid|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR221(A)|AllInPay-AllInPay-2001(Available)|Hybrid|China|Debit|RMB| -   | -   |#DIV/0!|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR221(F)|AllInPay-AllInPay-2001(Float)|Hybrid|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR222(A)|AllInPay-AllInPay-2002(Available)|Hybrid|China|Debit|RMB| -   | -   |#DIV/0!|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR222(F)|AllInPay-AllInPay-2002(Float)|Hybrid|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR223(A)|LinkinPay-eBatong-056(Available)|Hybrid|China|Debit|RMB| -   | -   |#DIV/0!|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR223(F)|LinkinPay-eBatong-056(Float)|Hybrid|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR224(A)|Xiao-UnicomPay-209(Available)|Hybrid|China|Debit|RMB| -   | -   |#DIV/0!|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR224(F)|Xiao-UnicomPay-209(Float)|Hybrid|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR225(A)|Xiao-UnicomPay-210(Available)|Hybrid|China|Debit|RMB| -   | -   |#DIV/0!|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR225(F)|Xiao-UnicomPay-210(Float)|Hybrid|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR226(A)|HaiPay-FL-180(Available)|Voucher|China|Debit|RMB| -   | -   |#DIV/0!|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR226(F)|HaiPay-FL-180(Float)|Voucher|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR227(A)|HaiPay-FL-181(Available)|Voucher|China|Debit|RMB| -   | -   |#DIV/0!|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR227(F)|HaiPay-FL-181(Float)|Voucher|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR228(A)|HaiPay-FL-182(Available)|Voucher|China|Debit|RMB| -   | -   |#DIV/0!|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR228(F)|HaiPay-FL-182(Float)|Voucher|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR229(A)|HaiPay-FL-183(Available)|Voucher|China|Debit|RMB| -   | -   |#DIV/0!|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR229(F)|HaiPay-FL-183(Float)|Voucher|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR230(A)|HaiPay-FL-184(Available)|Voucher|China|Debit|RMB| -   | -   |#DIV/0!|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR230(F)|HaiPay-FL-184(Float)|Voucher|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR231(A)|HaiPay-FL-185(Available)|Voucher|China|Debit|RMB| -   | -   |#DIV/0!|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR231(F)|HaiPay-FL-185(Float)|Voucher|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR232(A)|HaiPay-HaiPay-2243(Available)|Voucher|China|Debit|RMB| -   | -   |#DIV/0!|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR232(F)|HaiPay-HaiPay-2243(Float)|Voucher|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR233(A)|YeePay-YeePay-0790(Available)|Hybrid|China|Debit|RMB| -   | -   |#DIV/0!|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR233(F)|YeePay-YeePay-0790(Float)|Hybrid|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR234(A)|LinkinPay-eBatong-058(Available)|Hybrid|China|Debit|RMB| -   | -   |#DIV/0!|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR234(F)|LinkinPay-eBatong-058(Float)|Hybrid|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPOFF001|PSP - Alan - Deposit|Offline|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPOFF002|PSP - Ngan - Deposit|Offline|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPOFF003|PSP - Peng - Deposit|Offline|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPOFF004|PSP - Xiao - Deposit|Offline|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPOFF005|PSP - Chan - Deposit |Offline|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPOFF006|PSP - Alan Payout|Offline|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPOFF007|PSP - Ngan Payout|Offline|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPOFF008|PSP - Peng Payout|Offline|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPOFF009|PSP - Xiao Payout|Offline|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPOFF010|PSP - Chan Payout|Offline|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPOFF011|PSP - Alan Intermediate|Offline|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPOFF012|PSP - Ngan Intermediate|Offline|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPOFF013|PSP - Peng Intermediate|Offline|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPOFF014|PSP - Xiao Intermediate|Offline|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPOFF015|PSP - Chan Intermediate|Offline|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPOFF016|PSP - Alan Pending Deposit|Offline|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPOFF017|PSP - Ngan Pending Deposit|Offline|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPOFF018|PSP - Peng Pending Deposit|Offline|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPOFF019|PSP - Xiao Pending Deposit|Offline|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPOFF020|PSP - Chan Pending Deposit|Offline|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPOFF021|PSP - Alan Pending Payout|Offline|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPOFF022|PSP - Ngan Pending Payout|Offline|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPOFF023|PSP - Peng Pending Payout|Offline|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPOFF024|PSP - Xiao Pending Payout|Offline|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPOFF025|PSP - Chan Pending Payout|Offline|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPOFF026|PSP - Alan Unreconciled |Offline|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPOFF027|PSP - Ngan Unreconciled |Offline|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPOFF028|PSP - Peng Unreconciled |Offline|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPOFF029|PSP - Xiao Unreconciled |Offline|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPOFF030|PSP - Chan Unreconciled |Offline|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPOFF031|PSP China Offline Payout in Transit|Offline|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB||PSP - Alan Pending Fund|Offline|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB||PSP - Ngan Pending Fund|Offline|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB||PSP - Peng Pending Fund|Offline|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB||PSP - Xiao Pending Fund|Offline|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB||PSP - Chan Pending Fund|Offline|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|PSPBT001|PSP Balance Transfer  - Gateway|Gateway|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|PSPBT002|PSP Balance Transfer - Hybrid|Hybrid|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|PSPBT003|PSP Balance Transfer  - Offline|Offline|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|PSPBT004|PSP Balance Transfer  - Mobile|Mobile|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|PSPBT005|PSP Balance Transfer  - Voucher|Voucher|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129610|Remittance in transit - Direct|REMIT.TRAN.-E-SPARK(A)|Money Broker - Alan-Available|Hybrid|China|Debit|RMB| 927,043.07 | 1,070,994.91 |1.155280639|product not identified||x||||||||||||||||||||||||||||
10129610|Remittance in transit - Direct|REMIT.TRAN.-E-SPARK(T)|Money Broker - Alan-Transit|Hybrid|China|Debit|RMB|||#DIV/0!|product not identified||||||||||||||||||||||||||||||
10129610|Remittance in transit - Direct|REMIT.TRAN.-NGAN(A)|Money Broker - Mr. Ngan-Available|Hybrid|China|Debit|RMB| 11,295,103.92 | 13,836,721.69 |1.225019423|product not identified||x||||||||||||||||||||||||||||
10129610|Remittance in transit - Direct|REMIT.TRAN.-NGAN(T)|Money Broker - Mr. Ngan-Transit|Hybrid|China|Debit|RMB|||#DIV/0!|product not identified||||||||||||||||||||||||||||||
10129610|Remittance in transit - Direct|REMIT.TRAN.-Wilson(A)|Money Broker - Wilson-Available|Hybrid|China|Credit|HKD| (1,451,910.31)| (1,451,910.31)|1|product not identified||x||||||||||||||||||||||||||||
10129610|Remittance in transit - Direct|REMIT.TRAN.-Wilson(T)|Money Broker - Wilson-Transit|Hybrid|China|Debit|RMB|||#DIV/0!|product not identified||||||||||||||||||||||||||||||
10129610|Remittance in transit - Direct|REMIT.TRAN.-Xiao(A)|Money Broker - Xiao-Available|Hybrid|China|Debit|RMB| 8,214,716.69 | 10,286,696.48 |1.252227784|product not identified||x||||||||||||||||||||||||||||
10129610|Remittance in transit - Direct|REMIT.TRAN.-Xiao(T)|Money Broker - Xiao-Transit|Hybrid|China|Debit|RMB|||#DIV/0!|product not identified||||||||||||||||||||||||||||||
10129610|Remittance in transit - Direct|REMIT.TRAN.-Liao Offline TW|Money Broker - Liao Offline|Offline|Taiwan|Debit|TWD| 6,763,800.00 | 1,764,806.33 |0.260919355|||x||||||||||||||||||||||||||||
10129610|Remittance in transit - Direct|REMIT.TRAN.-Peng_01(A)|MB - Peng_online_01-Available|Hybrid|China|Debit|RMB| 6,595,114.17 | 8,356,708.27 |1.267105929|||x||||||||||||||||||||||||||||
10129610|Remittance in transit - Direct|REMIT.TRAN.-Peng_01(T)|MB - Peng_online_01-Transit|Hybrid|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129610|Remittance in transit - Direct|REMIT.TRAN.-Peng_02(A)|MB - Peng_online_02-Available|Hybrid|China|Debit|RMB| 1,101,268.45 | 1,395,676.06 |1.267335008|||x||||||||||||||||||||||||||||
10129610|Remittance in transit - Direct|REMIT.TRAN.-Peng_02(T)|MB - Peng_online_02-Transit|Hybrid|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129610|Remittance in transit - Direct|Pay-in-Transit - Offline|Pay-in-Tranist to Merchant - Offline|Offline|China|Credit|HKD| (12,551.71)| (12,551.71)|1|||x||||||||||||||||||||||||||||
10129610|Remittance in transit - Direct|Pay-in-Transit - Hybrid|Pay-in-Transit to Merchant - Hybrid|Hybrid|China|Credit|HKD| (69,724,449.10)| (69,724,449.10)|1|||x||||||||||||||||||||||||||||
10129610|Remittance in transit - Direct|Pay-in-Transit - WebATM|Pay-in-Transit to Merchant - WebATM|WebATM|Taiwan|Debit|HKD| -   | -   |#DIV/0!|||||||||||||||||||||||||||||||
10129610|Remittance in transit - Direct|Pay-in-Transit - Gateway|Pay-in-Transit to Merchant - Gateway|Gateway|China|Debit|HKD| 20,791.66 | 20,791.66 |1|||x||||||||||||||||||||||||||||
10129610|Remittance in transit - Direct|Pay-in-Transit - Gateway|Pay-in-Transit to Merchant - Gateway|Gateway|China|Credit|HKD| (11,977,884.90)| (11,977,884.90)|1|||x||||||||||||||||||||||||||||
10129610|Remittance in transit - Direct|Pay-in-Transit - Gateway|Pay-in-Transit to Merchant - Gateway|Gateway|China|Credit|USD| (273,418.09)| (2,124,676.84)|7.77079834|||x||||||||||||||||||||||||||||
10129610|Remittance in transit - Direct|Pay-in-Transit - Mobile|Pay-in-Transit to Merchant - Mobile |Mobile|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129610|Remittance in transit - Direct|Pay-in-Transit - Voucher|Pay-in-Transit to Merchant - Voucher|Voucher|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129610|Remittance in transit - Direct|MBCNOFF001|Money Broker CN - Alan - 01|Offline|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129610|Remittance in transit - Direct|MBCNOFF002|Money Broker CN - Ngan - 01|Offline|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129610|Remittance in transit - Direct|MBCNOFF003|Money Broker CN - Peng - 01|Offline|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129610|Remittance in transit - Direct|MBCNOFF004|Money Broker CN - Peng - 02|Offline|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129610|Remittance in transit - Direct|MBCNOFF005|Money Broker CN - Chan - 01|Offline|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129610|Remittance in transit - Direct|MBCNOFF006|Money Broker CN - Alan - 01 Transit|Offline|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129610|Remittance in transit - Direct|MBCNOFF007|Money Broker CN - Ngan - 01 Transit|Offline|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129610|Remittance in transit - Direct|MBCNOFF008|Money Broker CN - Peng - 01 Transit|Offline|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129610|Remittance in transit - Direct|MBCNOFF009|Money Broker CN - Peng - 02 Transit|Offline|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129610|Remittance in transit - Direct|MBCNOFF010|Money Broker CN - Chan - 01 Transit|Offline|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
12109100|Accrued Receivables - MOP|AR-BUSINESS-HKD|Other Accounts Receivable |Hybrid|China|Debit|HKD| 6,003,162.87 | 6,003,162.87 |1|product and country not identified||x||||||||||||||||||||||||||||
12109100|Accrued Receivables - MOP|AR-BUSINESS-RMB|Other Accounts Receivable |Hybrid|China|Credit|RMB| (21,445,302.79)| (26,156,443.69)|1.219681715|product and country not identified||x||||||||||||||||||||||||||||
12109100|Accrued Receivables - MOP|AR-BUSINESS-TWD|Other Accounts Receivable|WebATM|Taiwan|Debit|HKD| 3,705.22 | 3,705.22 |1|||x||||||||||||||||||||||||||||
12109100|Accrued Receivables - MOP|Other A/R - Bank-in-transit|Other Accounts Receivable - Bank-in-transit|Offline|China|Credit|RMB| (903,991.54)| (1,129,496.51)|1.249454735|||x||||||||||||||||||||||||||||
12229100|Accrued Receivables - TWD|WALMB-TWD(A)|Money Broker - Mr. Liao-Available|WebATM|Taiwan|Debit|TWD|||#DIV/0!|||||||||||||||||||||||||||||||
12229100|Accrued Receivables - TWD|WALMB-TWD(T)|Money Broker - Mr. Liao-Transit|WebATM|Taiwan|Debit|TWD|||#DIV/0!|||||||||||||||||||||||||||||||
12229100|Accrued Receivables - TWD|MBTWOFF001|Money Broker TW - Liao - 01|Offline|Taiwan|Debit|TWD|||#DIV/0!|||||||||||||||||||||||||||||||
12229100|Accrued Receivables - TWD|MBTWOFF002|Money Broker TW - Liao - 01 Transit|Offline|Taiwan|Debit|TWD|||#DIV/0!|||||||||||||||||||||||||||||||
12229101|Due from Taiwan Processor - TWD|CPDIR167(A)|TWV-TWV-130601(Available)|WebATM|Taiwan|Debit|TWD| 19,121,364.00 | 5,053,282.72 |0.264274176|||x||||||||||||||||||||||||||||
12229101|Due from Taiwan Processor - TWD|CPDIR167(F)|TWV-TWV-130601(Float)|WebATM|Taiwan|Debit|TWD|||#DIV/0!|||||||||||||||||||||||||||||||
12229101|Due from Taiwan Processor - TWD|CPDIR170(A)|PSP Temperory - Taiwan WebATM(Available)|WebATM|Taiwan|Debit|TWD| -   | -   |#DIV/0!|||||||||||||||||||||||||||||||
12229101|Due from Taiwan Processor - TWD|CPDIR170(F)|PSP Temperory - Taiwan WebATM(Float)|WebATM|Taiwan|Debit|TWD|||#DIV/0!|||||||||||||||||||||||||||||||
12229101|Due from Taiwan Processor - TWD|CPDIR154|Mr Peng-Offline Taiwan-001|Offline|Taiwan|Debit|TWD| 107,625.00 | 28,950.19 |0.268991312|||x||||||||||||||||||||||||||||
12229101|Due from Taiwan Processor - TWD|TWOFF001|PSP - Peng - TW Depsoit|Offline|Taiwan|Debit|TWD|||#DIV/0!|||||||||||||||||||||||||||||||
12229101|Due from Taiwan Processor - TWD|TWOFF002|PSP - Peng - TW Payout|Offline|Taiwan|Debit|TWD|||#DIV/0!|||||||||||||||||||||||||||||||
12229101|Due from Taiwan Processor - TWD|TWOFF003|PSP - Peng - TW Intermediate|Offline|Taiwan|Debit|TWD|||#DIV/0!|||||||||||||||||||||||||||||||
12229101|Due from Taiwan Processor - TWD|TWOFF004|PSP - Peng - TW Pendig Depsoit|Offline|Taiwan|Debit|TWD|||#DIV/0!|||||||||||||||||||||||||||||||
12229101|Due from Taiwan Processor - TWD|TWOFF005|PSP - Peng - TW Pending Payout|Offline|Taiwan|Debit|TWD|||#DIV/0!|||||||||||||||||||||||||||||||
15000732| PLC/NetOps|Intercom. QA001|Intercom. QA-Expense - HKD|Hybrid|China|Debit|HKD| 611,156,288.53 | 611,156,288.53 |1|product and country not identified||x||||||||||||||||||||||||||||
20000112|Accounts Payable - HKD|AP-BUSINESS-HKD|Accounts Payable- Misc.|Hybrid|China|Debit|HKD| 6,108,852.30 | 6,108,852.30 |1|product and country not identified||x||||||||||||||||||||||||||||
20000112|Accounts Payable - HKD|MERCHANT PAYABLE-RMB|Accounts Payable- Misc.|Hybrid|China|Credit|RMB| (7,614,353.14)| (9,269,635.79)|1.217389793|product not identified||x||||||||||||||||||||||||||||
20000112|Accounts Payable - HKD|MERCHANT PAYABLE-TWD|Accounts Payable- Misc.|Offline|Taiwan|Credit|TWD| (19,363.00)| (5,045.47)|0.260572742|product not identified||x||||||||||||||||||||||||||||
20000112|Accounts Payable - HKD|MERCHANT BT001|Merchant Balance Transfer HKD - Gateway|Gateway|China|Debit|HKD| -   | -   |#DIV/0!|||||||||||||||||||||||||||||||
